Observación	Modelo	Mejor Ajuste	Parámetro
Obser_2_3	L_P	4.54083699972	d
Obser_2_3	L_P	3.88832541245	e
Obser_2_3	L_P	255.217002636	Likelihood
Obser_2_4	L_P	3.87287137895	a
Obser_2_4	L_P	-0.144881303486	b
Obser_2_4	L_P	3.03019503534	c
Obser_2_4	L_P	8.84487218774	d
Obser_2_4	L_P	3.86290913753	e
Obser_2_4	L_P	153.593296727	Likelihood
Obser_2_5	L	0.250114822082	a
Obser_2_5	L	7.08162890649	b
Obser_2_5	L	285.048851856	Likelihood
Obser_2_6	L_P	11.9244030316	a
Obser_2_6	L_P	-2.67565271223	b
Obser_2_6	L_P	9.01585037802	c
Obser_2_6	L_P	0.890663464471	d
Obser_2_6	L_P	4.33497037423	e
Obser_2_6	L_P	181.835851552	Likelihood
Obser_2_7	L	-0.448441238899	a
Obser_2_7	L	11.3027009871	b
Obser_2_7	L	541.392526734	Likelihood
Obser_2_8	L_P	14.2299363093	a
Obser_2_8	L_P	-1.80384867029	b
Obser_2_8	L_P	2.31199703687	c
Obser_2_8	L_P	10.4529618198	d
Obser_2_8	L_P	3.5535620779	e
Obser_2_8	L_P	363.634406065	Likelihood
Obser_2_9	L_G	16.1530549197	a
Obser_2_9	L_G	-1.3551600881	b
Obser_2_9	L_G	-0.0774625057582	c
Obser_2_9	L_G	3.13956639456	d
Obser_2_9	L_G	279.369561412	Likelihood
Obser_3_0	L_P	-31.7044257833	a
Obser_3_0	L_P	1.8984793996	b
Obser_3_0	L_P	8.02962481787	c
Obser_3_0	L_P	5.1998579365	d
Obser_3_0	L_P	3.56498264958	e
Obser_3_0	L_P	847.512436123	Likelihood
Obser_3_1	L_P	-25.6007580247	a
Obser_3_1	L_P	-1.62057532982	b
Obser_3_1	L_P	16.2237156908	c
Obser_3_1	L_P	3.84136496996	d
Obser_3_1	L_P	3.58059443158	e
Obser_3_1	L_P	857.352825134	Likelihood
Obser_3_2	L_P	-15.9482803493	a
Obser_3_2	L_P	-2.06844896171	b
Obser_3_2	L_P	14.5673237244	c
Obser_3_2	L_P	3.66889510863	d
Obser_3_2	L_P	3.6309008657	e
Obser_3_2	L_P	569.063819584	Likelihood
Obser_3_3	L_P	-6.94721660861	a
Obser_3_3	L_P	-0.832210496305	b
Obser_3_3	L_P	8.86491024339	c
Obser_3_3	L_P	4.62159404561	d
Obser_3_3	L_P	3.71113730896	e
Obser_3_3	L_P	344.970272063	Likelihood
Obser_3_4	L_P	-0.201549713539	a
Obser_3_4	L_P	0.0114940913888	b
Obser_3_4	L_P	4.62447745888	c
Obser_3_4	L_P	4.85974916468	d
Obser_3_4	L_P	3.6852581282	e
Obser_3_4	L_P	220.545389066	Likelihood
Obser_3_5	L_P	5.34259962734	a
Obser_3_5	L_P	-0.349247973005	b
Obser_3_5	L_P	3.03962895374	c
Obser_3_5	L_P	2.99462268777	d
Obser_3_5	L_P	3.47536347562	e
Obser_3_5	L_P	218.917238482	Likelihood
Obser_3_6	L_P	3.99480970163	a
Obser_3_6	L_P	0.785814764321	b
Obser_3_6	L_P	13.1846885941	c
Obser_3_6	L_P	-1.91934874394	d
Obser_3_6	L_P	-0.0247999772577	e
Obser_3_6	L_P	316.254541629	Likelihood
Obser_3_7	L_G	9.61805078052	a
Obser_3_7	L_G	-0.219305896793	b
Obser_3_7	L_G	0.0331904564461	c
Obser_3_7	L_G	0.0140115354626	d
Obser_3_7	L_G	611.305275257	Likelihood
Obser_3_8	L_G	13.4704767135	a
Obser_3_8	L_G	-0.974221429198	b
Obser_3_8	L_G	-0.0923686267635	c
Obser_3_8	L_G	3.16722351126	d
Obser_3_8	L_G	539.617913221	Likelihood
Obser_3_9	L_G	15.3277153534	a
Obser_3_9	L_G	-1.30205465124	b
Obser_3_9	L_G	-0.0787862369138	c
Obser_3_9	L_G	3.18334294185	d
Obser_3_9	L_G	385.954557104	Likelihood
Obser_4_0	L_P	-14.4953881989	a
Obser_4_0	L_P	-2.56235481876	b
Obser_4_0	L_P	6.62706058629	c
Obser_4_0	L_P	5.92050101424	d
Obser_4_0	L_P	3.7462784508	e
Obser_4_0	L_P	1042.93389996	Likelihood
Obser_4_1	L_P	-27.0526477121	a
Obser_4_1	L_P	-5.17135273398	b
Obser_4_1	L_P	20.7473938808	c
Obser_4_1	L_P	2.24313917681	d
Obser_4_1	L_P	3.80648172635	e
Obser_4_1	L_P	994.556137522	Likelihood
Obser_4_2	L_P	-28.2193067631	a
Obser_4_2	L_P	-3.36040266548	b
Obser_4_2	L_P	17.6137347634	c
Obser_4_2	L_P	2.74411225405	d
Obser_4_2	L_P	3.70507508713	e
Obser_4_2	L_P	614.42235056	Likelihood
Obser_4_3	L_P	-19.2165461482	a
Obser_4_3	L_P	-2.66759818049	b
Obser_4_3	L_P	16.2858972076	c
Obser_4_3	L_P	2.01146054523	d
Obser_4_3	L_P	3.61810161999	e
Obser_4_3	L_P	788.882369143	Likelihood
Obser_4_4	L_P	-8.75242889093	a
Obser_4_4	L_P	0.256920287661	b
Obser_4_4	L_P	5.42983932003	c
Obser_4_4	L_P	7.03244661227	d
Obser_4_4	L_P	3.60573489812	e
Obser_4_4	L_P	593.107140035	Likelihood
Obser_4_5	L_P	-1.60550754591	a
Obser_4_5	L_P	0.371405028765	b
Obser_4_5	L_P	2.8669619767	c
Obser_4_5	L_P	6.36015901295	d
Obser_4_5	L_P	3.44252625151	e
